OBJECTID,BLOCK,DISTRICT,STATE,VILLAGE,CODE,Shape_Leng,Shape_Area,TEHSIL
3853,PEHOWA,KURUKSHETRA,HARYANA,THANA,T13,17187.41127,17011199.55,PEHOWA
3854,PEHOWA,KURUKSHETRA,HARYANA,MANGNA,M16,11374.62276,5678518.026,PEHOWA
3855,PEHOWA,KURUKSHETRA,HARYANA,SEONSAR,S21,16486.67747,10547524.5,PEHOWA
3856,PEHOWA,KURUKSHETRA,HARYANA,RAMGARH ROD,R04,13447.50496,10218747.25,PEHOWA
3857,PEHOWA,KURUKSHETRA,HARYANA,RATTANGARH URF KAKRALI,R16,9847.159552,5132822.274,PEHOWA
3858,PEHOWA,KURUKSHETRA,HARYANA,KAKRALA GUJRAN,K05,10618.99351,4702932.688,PEHOWA
3859,PEHOWA,KURUKSHETRA,HARYANA,DIWANA,D26,16324.10807,14257915.62,PEHOWA
3860,PEHOWA,KURUKSHETRA,HARYANA,ADHOYA,A02,14534.96666,9629755.222,PEHOWA
3870,PEHOWA,KURUKSHETRA,HARYANA,BODHA,B61,6595.132576,1861988.42,PEHOWA
3872,PEHOWA,KURUKSHETRA,HARYANA,HARIGARH BORAK,B42,16759.57083,13255096.98,PEHOWA
3890,PEHOWA,KURUKSHETRA,HARYANA,GARHI RORAN,G06,8947.705797,2441406.332,PEHOWA
3893,PEHOWA,KURUKSHETRA,HARYANA,CHHALON,C08,10012.64579,4852036.707,PEHOWA
3682,PIPLI,KURUKSHETRA,HARYANA,SARAI SUKHI,S18,7534.753282,3624751.903,SHAHABAD
3689,PIPLI,KURUKSHETRA,HARYANA,BIR CHHAPAR,B53,10753.24827,4460228.306,SHAHABAD
6,PIPLI,KURUKSHETRA,HARYANA,MATHANA,M18,19153.21414,14072597.67,THANESAR
832,PIPLI,KURUKSHETRA,HARYANA,KHERI MARKANDA,K37,7043.297959,1344819.387,THANESAR
833,PIPLI,KURUKSHETRA,HARYANA,AMARGARH MAJHARA,A09,5279.58732,1042327.871,THANESAR
834,PIPLI,KURUKSHETRA,HARYANA,SIRSAMA,S37,8691.635733,3628837.323,THANESAR
835,PIPLI,KURUKSHETRA,HARYANA,DAULATPUR,D10,8108.153392,2664804.128,THANESAR
836,PIPLI,KURUKSHETRA,HARYANA,DEVIDASPUR,D13,5335.652424,1585025.538,THANESAR
837,PIPLI,KURUKSHETRA,HARYANA,PIPLI,P11,6832.958888,1889482.034,THANESAR
838,PIPLI,KURUKSHETRA,HARYANA,BIR PIPLI,B58,13221.87688,3429907.329,THANESAR
839,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR NAWABA,S23,8698.787684,1800806.064,THANESAR
840,PIPLI,KURUKSHETRA,HARYANA,RATTAN DERA,R15,8192.926064,3392965.347,THANESAR
841,PIPLI,KURUKSHETRA,HARYANA,PARTAPGARH,P05,8770.109199,1875266.723,THANESAR
842,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR SHAHABAD,S24,7133.700238,2662758.714,THANESAR
844,PIPLI,KURUKSHETRA,HARYANA,PALWAL,P03,8065.278036,3249164.461,THANESAR
3511,PIPLI,KURUKSHETRA,HARYANA,CHHARPUR,C12,5333.145012,1688845.282,THANESAR
3512,PIPLI,KURUKSHETRA,HARYANA,BIR MATHANA,B57,5737.737308,1626058.058,THANESAR
3514,PIPLI,KURUKSHETRA,HARYANA,KISHANGARH,K43,6599.364939,1721824.354,THANESAR
3519,PIPLI,KURUKSHETRA,HARYANA,GOVIND MAJRA,G17,8696.379346,3948451.766,THANESAR
3522,PIPLI,KURUKSHETRA,HARYANA,HARIA PUR,H05,8874.254596,1708909.265,THANESAR
3524,PIPLI,KURUKSHETRA,HARYANA,WAZIDPUR,W01,7796.437491,2882856.973,THANESAR
3550,PIPLI,KURUKSHETRA,HARYANA,SAMANI,S11,7142.818595,3045349.481,THANESAR
3553,PIPLI,KURUKSHETRA,HARYANA,UNTSAAL,U04,6882.535037,2435451.061,THANESAR
3554,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR SHAHIDA,S25,6762.66998,1708520.441,THANESAR
3560,PIPLI,KURUKSHETRA,HARYANA,MUKARPUR,M31,6538.275248,2192412.438,THANESAR
3571,PIPLI,KURUKSHETRA,HARYANA,MUNYARPUR,M33,4328.6817,1033963.94,THANESAR
3580,PIPLI,KURUKSHETRA,HARYANA,MUSAPUR,M37,4897.744137,1319147.35,THANESAR
3581,PIPLI,KURUKSHETRA,HARYANA,SANWALA,S17,10738.37116,5605032.277,THANESAR
3582,PIPLI,KURUKSHETRA,HARYANA,KHANPUR  KOLIAN,K26,8785.039676,4527067.14,THANESAR
3681,PIPLI,KURUKSHETRA,HARYANA,DHIRPUR,D23,6928.019183,2714399.698,THANESAR
3684,PIPLI,KURUKSHETRA,HARYANA,KANIPALA,K15,9973.092,5551086.91,THANESAR
3687,PIPLI,KURUKSHETRA,HARYANA,MASANA,M17,8950.510764,4499339.943,THANESAR
